Geraetename / Device name :,Smart Energy Meter
Strompreis / Tariff:, 0.230
Waehrung / Currency:,CHF

Datum / Date,Zeit / Time,kWh,Strompreis / Tariff,Kosten / Cost
2017-11-01,00:00, 0.000, 0.230, 0.000
2017-11-01,01:00, 0.000, 0.230, 0.000
2017-11-01,02:00, 0.000, 0.230, 0.000
2017-11-01,03:00, 0.000, 0.230, 0.000
2017-11-01,04:00, 0.000, 0.230, 0.000
2017-11-01,05:00, 0.000, 0.230, 0.000
2017-11-01,06:00, 0.000, 0.230, 0.000
2017-11-01,07:00, 0.000, 0.230, 0.000
2017-11-01,08:00, 0.004, 0.230, 0.001
2017-11-01,09:00, 0.019, 0.230, 0.004
2017-11-01,10:00, 0.029, 0.230, 0.007
2017-11-01,11:00, 0.016, 0.230, 0.004
2017-11-01,12:00, 0.055, 0.230, 0.013
2017-11-01,13:00, 0.000, 0.230, 0.000
2017-11-01,14:00, 0.000, 0.230, 0.000
2017-11-01,15:00, 0.000, 0.230, 0.000
2017-11-01,16:00, 0.000, 0.230, 0.000
2017-11-01,17:00, 0.000, 0.230, 0.000
2017-11-01,18:00, 0.000, 0.230, 0.000
2017-11-01,19:00, 0.000, 0.230, 0.000
2017-11-01,20:00, 0.000, 0.230, 0.000
2017-11-01,21:00, 0.000, 0.230, 0.000
2017-11-01,22:00, 0.000, 0.230, 0.000
2017-11-01,23:00, 0.000, 0.230, 0.000
